ScientificName;VernacularName;UUID
Obscurus;Unbekannt;
;Leerbild;
Mammalia;Säugetier;
Vehiculus;Fahrzeug;
Aves;Vogel;
Psittacula eupatria (Linnaeus, 1766);Alexandersittich;1e94b9ba-936f-4d9b-bf15-95734e467adc
Prunella collaris (Scopoli, 1769);Alpenbraunelle;ca0fe3f4-55db-49e7-baa1-0cfd6034547c
Pyrrhocorax graculus (Linnaeus, 1766);Alpendohle;75a755a9-fbdf-42dd-bdd7-3b570c69c5ed
Lagopus muta (Montin, 1781);Alpenschneehuhn;606f2e0a-74aa-4837-a893-7d73b53542d5
Apus melba (Linnaeus, 1758);Alpensegler;84c0b6c5-7239-42c0-8ce8-12640a430c50
Calidris alpina (Linnaeus, 1758);Alpenstrandläufer;bccd72b9-5542-4591-a9d8-9f8f81f57c85
Turdus merula Linnaeus, 1758;Amsel;1453b574-5ab6-4887-897f-1a592e23c5f8
Tetrao urogallus Linnaeus, 1758;Auerhuhn;4d8c906d-ef7c-4dc5-aab6-a5f2b9340bc5
Haematopus ostralegus Linnaeus, 1758;Austernfischer;81b20403-b636-4a1b-bf8f-0b386d42e087
Motacilla alba Linnaeus, 1758;Bachstelze;aedc0a14-c288-41eb-8ef6-3837d54b5c12
Panurus biarmicus (Linnaeus, 1758);Bartmeise;6f43f21e-8b48-4638-86b7-31aa73416d0c
Sula bassana (Linnaeus, 1758);Basstölpel;c6325cec-2c59-4394-b36b-ea54663e1d14
Falco subbuteo Linnaeus, 1758;Baumfalke;973b47aa-42d4-407e-a5a3-b5b4266a4bda
Anthus trivialis (Linnaeus, 1758);Baumpieper;590e1567-34b1-4d72-a97a-b2264bd0ac63
Gallinago gallinago (Linnaeus, 1758);Bekassine;6c4c18f3-dbfd-42fb-a680-97e1e9a03190
Aythya marila (Linnaeus, 1761);Bergente;4a54427f-fa91-41e8-a734-1cfc3bcfca83
Phylloscopus bonelli (Vieillot, 1819);Berglaubsänger;23a2e283-73ed-4514-9b59-7cfc9a595e6d
Anthus spinoletta (Linnaeus, 1758);Bergpieper;3f28082d-ef00-4441-a79f-164eafbe2efe
Remiz pendulinus (Linnaeus, 1758);Beutelmeise;7aefc780-d4dc-480c-94b9-f41d5aac9275
Merops apiaster (Linnaeus, 1758);Bienenfresser;40fdbc52-2932-4e97-8f06-1cc43c0ba5c0
Carduelis flammea (Linnaeus, 1758);Birkenzeisig;8508d70e-9d6c-44ff-8c5e-59f2539b71e3
Tetrao tetrix Linnaeus, 1758;Birkhuhn;d8e0a6d3-7f92-4443-965a-66fbb6bedd61
Fulica atra Linnaeus, 1758;Blässhuhn;d6196d86-e7e0-4f0f-921e-24fced92cf21
Luscinia svecica (Linnaeus, 1758);Blaukehlchen;9375f832-84cc-46d0-84d6-50262ba74aff
Parus caeruleus Linnaeus, 1758;Blaumeise;c2380c70-99ee-4be0-a3e8-b18e0905415c
Coracias garrulus Linnaeus, 1758;Blauracke;1f02fd5e-8935-4bff-a7c7-f00358cbb221
Carduelis cannabina (Linnaeus, 1758);Bluthänfling;4b9ade04-725b-4db9-90d9-1dc9a9bc711d
