file,conf,category,x_off,y_off,width,height,category_word,datetimeoriginal,deployment,event,event_id,empty_box,event_category
C:\md_pics\md_pics_neu\RWGBW_19317_220524\I_00115a.JPG,0.888,1,0.6308,0.2513,0.243,0.2446,md_animal,2022-05-27T18:39:56Z,RWGBW_19317_220524,2,RWGBW_19317_220524_2,FALSE,md_animal
C:\md_pics\md_pics_neu\RWGBW_19317_220524\I_00115b.JPG,0.912,1,0.5209,0.3201,0.2239,0.1991,md_animal,2022-05-27T18:39:56Z,RWGBW_19317_220524,2,RWGBW_19317_220524_2,FALSE,md_animal
C:\md_pics\md_pics_neu\RWGBW_19317_220524\I_00115c.JPG,0.877,1,0.4103,0.3489,0.2193,0.1945,md_animal,2022-05-27T18:39:56Z,RWGBW_19317_220524,2,RWGBW_19317_220524_2,FALSE,md_animal
C:\md_pics\md_pics_neu\RWGBW_19317_220524\I_00116a.JPG,0.941,1,0.7569,0.3963,0.1886,0.4084,md_animal,2022-05-28T22:31:31Z,RWGBW_19317_220524,3,RWGBW_19317_220524_3,FALSE,md_animal
C:\md_pics\md_pics_neu\RWGBW_19317_220524\I_00116b.JPG,0.9,1,0.8769,0.4251,0.1156,0.278,md_animal,2022-05-28T22:31:31Z,RWGBW_19317_220524,3,RWGBW_19317_220524_3,FALSE,md_animal
C:\md_pics\md_pics_neu\RWGBW_19317_220524\I_00116c.JPG,0.927,1,0.8784,0.4177,0.1071,0.3061,md_animal,2022-05-28T22:31:31Z,RWGBW_19317_220524,3,RWGBW_19317_220524_3,FALSE,md_animal
C:\md_pics\md_pics_neu\RWGBW_19317_220524\I_00117a.JPG,0,0,NA,NA,NA,NA,md_empty,2022-05-28T22:31:53Z,RWGBW_19317_220524,3,RWGBW_19317_220524_3,TRUE,md_animal
C:\md_pics\md_pics_neu\RWGBW_19317_220524\I_00117b.JPG,0,0,NA,NA,NA,NA,md_empty,2022-05-28T22:31:53Z,RWGBW_19317_220524,3,RWGBW_19317_220524_3,TRUE,md_animal
C:\md_pics\md_pics_neu\RWGBW_19317_220524\I_00117c.JPG,0,0,NA,NA,NA,NA,md_empty,2022-05-28T22:31:53Z,RWGBW_19317_220524,3,RWGBW_19317_220524_3,TRUE,md_animal
C:\md_pics\md_pics_neu\RWGBW_19317_220524\I_00118a.JPG,0.903,1,0.3862,0.407,0.1416,0.1978,md_animal,2022-05-29T19:19:15Z,RWGBW_19317_220524,4,RWGBW_19317_220524_4,FALSE,md_animal
C:\md_pics\md_pics_neu\RWGBW_19317_220524\I_00118b.JPG,0.882,1,0.4083,0.4057,0.1048,0.2139,md_animal,2022-05-29T19:19:15Z,RWGBW_19317_220524,4,RWGBW_19317_220524_4,FALSE,md_animal
C:\md_pics\md_pics_neu\RWGBW_19317_220524\I_00118c.JPG,0.92,1,0.4056,0.407,0.1362,0.2072,md_animal,2022-05-29T19:19:15Z,RWGBW_19317_220524,4,RWGBW_19317_220524_4,FALSE,md_animal
